family,metric,arm,tier,phase,absolute_class,absolute_dominance,progress_class,progress_dominance,alignment_class,alignment_dominance,unsafe_for_depth_claims,alignment_supports_schedule_attribution,absolute_warm_n,absolute_warm_effect,absolute_warm_effect_rel,absolute_warm_seed_sd,absolute_warm_seed_rel,absolute_warm_seed_multiple,absolute_warm_outside_fraction,absolute_warm_signed_rel,absolute_warm_baseline,absolute_warm_detectable,absolute_post_n,absolute_post_effect,absolute_post_effect_rel,absolute_post_seed_sd,absolute_post_seed_rel,absolute_post_seed_multiple,absolute_post_outside_fraction,absolute_post_signed_rel,absolute_post_baseline,absolute_post_detectable,progress_warm_n,progress_warm_effect,progress_warm_effect_rel,progress_warm_seed_sd,progress_warm_seed_rel,progress_warm_seed_multiple,progress_warm_outside_fraction,progress_warm_signed_rel,progress_warm_baseline,progress_warm_detectable,progress_post_n,progress_post_effect,progress_post_effect_rel,progress_post_seed_sd,progress_post_seed_rel,progress_post_seed_multiple,progress_post_outside_fraction,progress_post_signed_rel,progress_post_baseline,progress_post_detectable,alignment_warm_n,alignment_warm_effect,alignment_warm_effect_rel,alignment_warm_seed_sd,alignment_warm_seed_rel,alignment_warm_seed_multiple,alignment_warm_outside_fraction,alignment_warm_signed_rel,alignment_warm_baseline,alignment_warm_detectable,alignment_post_n,alignment_post_effect,alignment_post_effect_rel,alignment_post_seed_sd,alignment_post_seed_rel,alignment_post_seed_multiple,alignment_post_outside_fraction,alignment_post_signed_rel,alignment_post_baseline,alignment_post_detectable
curvature/e_fd_gradient [shadow_fp32],curvature/e_fd_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,1.058092462,not estimable,,False,False,10,3.487276297e-05,0.1523529378,6.300470104e-05,0.275256403,0.5534946187,0.8,-0.03028743796,0.0002288945883,False,0,,,,,,,,,False,5,0.0003250518844,0.5941633321,0.0001421718028,0.2598762725,2.286331593,1,0.4644893847,0.0005470749655,False,17,0.0004099971611,0.5615419763,0.0002472061906,0.3385795463,1.658523034,1,-0.5615419763,0.0007301273608,False,2,3.216746758e-05,0.2832617795,4.660764178e-06,0.04104197358,6.901758243,0,0.2832617795,0.0001135609176,True,0,,,,,,,,,False
curvature/e_fd_random [shadow_fp32],curvature/e_fd_random,shadow_fp32,sparse,post_update,not estimable,,not estimable,,not estimable,,False,False,1,0.0005818792991,0.5674056554,3.630533517e-05,0.03540227763,16.02737715,1,0.5674056554,0.001025508459,False,0,,,,,,,,,False,0,,,,,,,,,False,0,,,,,,,,,False,0,,,,,,,,,False,0,,,,,,,,,False
curvature/e_lin_gradient [native],curvature/e_lin_gradient,native,sparse,post_update,not estimable,,not different,2.297400253,not estimable,,False,False,10,0.00225275654,0.3454209339,0.002106992647,0.3230705827,1.069181016,0.4,0.3299437281,0.006521771898,False,0,,,,,,,,,False,5,0.003184259547,0.3887758835,0.002868923221,0.3502755173,1.109914523,0,0.2742400537,0.008190476009,False,17,0.000966111879,0.1692242712,0.0004525994262,0.07927736913,2.134584852,0.9411764706,-0.1692242712,0.005709062135,False,2,0.008535082367,0.9332687044,0.005090198788,0.5565878598,1.676767985,0,0.1310665824,0.009145364381,False,0,,,,,,,,,False
curvature/e_lin_gradient [shadow_fp32],curvature/e_lin_gradient,shadow_fp32,sparse,post_update,not estimable,,warmup-dominated,4.828239475,not estimable,,True,False,10,2.811836979e-06,0.3576584743,3.063904469e-07,0.03897208145,9.177299774,0.7,0.341445249,7.861793249e-06,True,0,,,,,,,,,False,5,2.241718831e-06,0.2787868381,1.526571607e-07,0.01898489969,14.68466217,0.8,0.2787868381,8.040977997e-06,True,17,2.842707765e-08,0.0577408887,3.077241076e-08,0.0625047135,0.923784551,0.2941176471,0.0226492794,4.923214432e-07,False,2,1.605874772e-06,0.08289649971,2.911537861e-07,0.01502958398,5.515555177,0,0.08289649971,1.93720456e-05,True,0,,,,,,,,,False
curvature/e_lin_random [native],curvature/e_lin_random,native,sparse,post_update,not estimable,,uniformly different,0.3288824994,not estimable,,False,False,10,0.001811608462,0.1606693676,0.0003152810328,0.0279618942,5.74601157,1,0.1606693676,0.0112753818,True,0,,,,,,,,,False,5,0.0009703374442,0.08120768746,0.0002846293835,0.02382067615,3.409126044,0.8,0.08120768746,0.01194883729,True,17,0.002747110948,0.246920063,0.0005723131429,0.05144153256,4.800013737,1,-0.246920063,0.01112550724,True,2,0.0002686816206,0.02237271244,0.0001443649399,0.01202105034,1.861127922,0,0.00965553177,0.01200934492,False,0,,,,,,,,,False
curvature/e_lin_random [shadow_fp32],curvature/e_lin_random,shadow_fp32,sparse,post_update,not estimable,,uniformly different,1.844661198,not estimable,,False,False,10,1.058696968e-07,0.1514523327,1.459580177e-08,0.02088008461,7.25343482,1,0.1514523327,6.990298192e-07,True,0,,,,,,,,,False,5,1.541580303e-07,0.2004660506,1.767780451e-08,0.02298809634,8.720428507,1,0.1887892854,7.689981914e-07,True,17,8.57888998e-08,0.108673642,4.042327937e-08,0.05120644977,2.122264723,0.7058823529,0.08725913881,7.894177305e-07,False,2,6.82883929e-08,0.0844617147,8.470666407e-09,0.01047684649,8.061749762,0,0.0844617147,8.08512983e-07,True,0,,,,,,,,,False
curvature/e_lin_update [native],curvature/e_lin_update,native,sparse,post_update,not estimable,,warmup-dominated,2.950803715,not estimable,,True,False,10,0.007159212943,0.4507952135,0.001635328795,0.1029719885,4.377843139,0.8,0.4507952135,0.0158812976,True,0,,,,,,,,,False,5,0.006448715418,0.3900051945,0.00214194124,0.1295402504,3.01068736,0.8,0.3900051945,0.01653494751,True,17,0.001402794143,0.1321691417,0.0006598575859,0.06217078337,2.125904397,0.7647058824,-0.1295118709,0.0106136283,False,2,0.005247031212,0.2172224164,0.004469599127,0.1850374208,1.173937766,0,-0.2172224164,0.02415510931,False,0,,,,,,,,,False
curvature/e_lin_update [shadow_fp32],curvature/e_lin_update,shadow_fp32,sparse,post_update,not estimable,,uniformly different,1.224370752,not estimable,,False,False,10,7.969524727e-08,0.1294466651,2.303233131e-08,0.03741074381,3.460146791,0.8,0.1294466651,6.156608761e-07,True,0,,,,,,,,,False,5,1.665221787e-07,0.2311040972,2.995081205e-08,0.0415665675,5.559855217,1,0.1692008723,7.205505254e-07,True,17,1.449478296e-07,0.1887533631,4.147687455e-08,0.05401184402,3.494666152,0.9411764706,0.1887533631,7.679218383e-07,True,2,1.21581744e-07,0.1670657694,1.526244893e-08,0.02097216811,7.966070486,0,0.1670657694,7.277477869e-07,True,0,,,,,,,,,False
curvature/e_sym_gradient [native],curvature/e_sym_gradient,native,sparse,post_update,not estimable,,warmup-dominated,2.70139926,not estimable,,True,False,10,0.1347123543,16.18063924,0.01326999933,1.593892951,10.15164741,0.5,16.01122873,0.008325527332,True,0,,,,,,,,,False,5,0.08798333211,5.433376624,0.01608655318,0.9934188662,5.469371288,0.8,5.032219787,0.01619312229,True,17,0.01374668396,2.011319358,0.0120379777,1.761313321,1.141942966,0.3529411765,1.568911279,0.006834660001,False,2,0.1385887953,14.43331455,0.009892065803,1.030208085,14.01009638,0,-14.43331455,0.009602007547,True,0,,,,,,,,,False
curvature/e_sym_gradient [shadow_fp32],curvature/e_sym_gradient,shadow_fp32,sparse,post_update,not estimable,,warmup-dominated,5.693014538,not estimable,,True,False,10,3.669822684e-05,6.192285104,4.535744501e-06,0.7653400593,8.090893752,0.6,6.141155072,5.926443345e-06,True,0,,,,,,,,,False,5,3.502140478e-05,6.350655796,4.658878998e-06,0.8448243896,7.517131222,0.4,6.34167605,5.514612333e-06,True,17,1.305466667e-06,1.115517228,2.557824597e-06,2.185653205,0.5103816221,0.4117647059,-0.1504242093,1.170279252e-06,False,2,2.858943677e-05,2.168427309,1.04719289e-05,0.794265966,2.73010226,0,-0.570177434,1.318441096e-05,False,0,,,,,,,,,False
curvature/e_sym_random [native],curvature/e_sym_random,native,sparse,post_update,not estimable,,warmup-dominated,2.886603738,not estimable,,True,False,10,0.1939857253,13.81312408,0.02482257842,1.767539107,7.814890217,0.5,13.3120105,0.01404358089,True,0,,,,,,,,,False,5,0.1263519144,10.08726404,0.03210943015,2.563445926,3.935040695,0.4,9.955707879,0.0125258855,True,17,0.04356434737,3.494509449,0.03329871916,2.671053184,1.308288981,0.5882352941,3.135477163,0.01246651297,False,2,0.2639602389,40.03075096,0.02359487221,3.578267913,11.18718663,0,-40.03075096,0.006593936726,True,0,,,,,,,,,False
curvature/e_sym_random [shadow_fp32],curvature/e_sym_random,shadow_fp32,sparse,post_update,not estimable,,not different,0.5978626262,not estimable,,False,False,10,1.038145028e-05,13.18757301,3.607272964e-06,4.582324658,2.877922015,0.5,12.62339217,7.872146198e-07,False,0,,,,,,,,,False,5,3.027517057e-06,3.787229951,4.459388789e-06,5.578409787,0.6789085233,0.4,3.345002851,7.99401435e-07,False,17,4.982470923e-06,6.334615654,4.364785712e-05,55.49302811,0.1141515587,0.4705882353,5.940489296,7.865466817e-07,False,2,5.674648355e-06,7.166537059,2.231827741e-06,2.818584556,2.542601407,0,-2.346005934,7.918257184e-07,False,0,,,,,,,,,False
curvature/e_sym_update [native],curvature/e_sym_update,native,sparse,post_update,not estimable,,not different,1.90491797,not estimable,,False,False,10,0.1545593678,2.556546655,0.08477456888,1.402245257,1.823180818,0.7,1.019383081,0.06045630637,False,0,,,,,,,,,False,5,0.0418432637,1.308236152,0.06314398041,1.974206376,0.6626643335,0.6,0.6452055059,0.03198448814,False,17,0.009337749325,0.6867677102,0.06934643476,5.100253878,0.1346536323,0.2941176471,-0.4209181164,0.01359666331,False,2,0.06265508252,0.9300238915,0.1288211058,1.91216261,0.4863728047,0,-0.9300238915,0.06736932577,False,0,,,,,,,,,False
curvature/e_sym_update [shadow_fp32],curvature/e_sym_update,shadow_fp32,sparse,post_update,not estimable,,warmup-dominated,5.363733372,not estimable,,True,False,10,5.118023272e-06,6.719359114,2.256357429e-06,2.962330386,2.268267964,0.2,5.769215606,7.616832477e-07,False,0,,,,,,,,,False,5,3.304480519e-06,4.386395795,9.642412287e-07,1.279942081,3.427026786,0.4,4.239734323,7.533475484e-07,True,17,1.07860491e-06,0.8177878152,6.578573796e-06,4.987811055,0.1639572562,0.2941176471,0.4454462305,1.318930032e-06,False,2,7.577801973e-07,0.7189714912,1.61059066e-06,1.528106399,0.4704983185,0,0.1353529113,1.053978088e-06,False,0,,,,,,,,,False
curvature/eta_star [native],curvature/eta_star,native,sparse,post_update,not estimable,,not different,1.179446193,not estimable,,False,False,6,0.0967440736,0.1887945562,0.1486105988,0.2900112741,0.650990403,0.8333333333,-0.1887945562,0.5124304194,False,0,,,,,,,,,False,3,0.2638291876,0.4926969057,0.2100512839,0.3922675067,1.256022733,0.3333333333,0.06136899208,0.5354796925,False,17,0.07801987944,0.4177358057,0.05526794737,0.2959168957,1.41166595,0.7647058824,-0.4177358057,0.1867684751,False,0,,,,,,,,,False,0,,,,,,,,,False
curvature/eta_star [shadow_fp32],curvature/eta_star,shadow_fp32,sparse,post_update,not estimable,,not different,1.466779486,not estimable,,False,False,8,143.5169189,0.5037881458,299.6049593,1.051704761,0.4790205049,0.875,-0.5037881458,284.8755376,False,0,,,,,,,,,False,4,164.2044083,0.6082524743,228.8752543,0.847808784,0.7174406373,0.5,-0.6074202638,269.9609377,False,17,0.07722269303,0.4146856977,0.05621996776,0.3019011075,1.37358124,0.7647058824,-0.4146856977,0.1862198129,False,1,283.8958004,0.2632945517,914.8600904,0.8484721401,0.3103160837,0,0.2632945517,1078.244113,False,0,,,,,,,,,False
curvature/eta_star_rho [native],curvature/eta_star_rho,native,sparse,post_update,not estimable,,not different,2.960476412,not estimable,,False,False,10,0.03297414878,0.1004470824,0.03818320257,0.1163150964,0.8635773472,0.5,0.0995258383,0.3282738333,False,0,,,,,,,,,False,5,0.03977837908,0.1488588469,0.02433594816,0.09107010555,1.634552261,0.6,-0.0822466982,0.2672221363,False,17,0.02677960316,0.05028205807,0.03443900038,0.06466353539,0.7775952516,0.1764705882,-0.005216605343,0.5325876503,False,2,0.04719043152,17.7786132,0.001861074689,0.701144829,25.35654898,0,16.79876738,0.002654337039,True,0,,,,,,,,,False
curvature/eta_star_rho [shadow_fp32],curvature/eta_star_rho,shadow_fp32,sparse,post_update,not estimable,,not different,3.19898102,not estimable,,False,False,10,0.03114669546,0.09438424015,0.03809758737,0.1154476192,0.8175503388,0.5,0.09345075845,0.3299989003,False,0,,,,,,,,,False,5,0.0423649078,0.1576308934,0.02503188725,0.09313837689,1.692437625,0.6,-0.0940670251,0.2687601833,False,17,0.02626384339,0.04927534498,0.03440144472,0.06454284057,0.7634517562,0.1764705882,-0.006083495838,0.5330017152,False,2,0.05215954234,19.79398065,0.001872348403,0.7105359133,27.85781869,0,18.78840573,0.002635121417,True,0,,,,,,,,,False
curvature/eta_star_rho_threshold [native],curvature/eta_star_rho_threshold,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,0.0625,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,0.0625,False,17,0,0,0,0,0,0,0,0.0625,False,2,0,0,0,0,0,0,0,0.0625,False,0,,,,,,,,,False
curvature/eta_star_rho_threshold [shadow_fp32],curvature/eta_star_rho_threshold,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,9.536743164e-07,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,9.536743164e-07,False,17,0,0,0,0,0,0,0,9.536743164e-07,False,2,0,0,0,0,0,0,0,9.536743164e-07,False,0,,,,,,,,,False
curvature/fd_conclusive_gradient [native],curvature/fd_conclusive_gradient,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,,0,,0,0,,0,False,0,,,,,,,,,False,5,0,,0,,0,0,,0,False,17,0,,0,,0,0,,0,False,2,0,,0,,0,0,,0,False,0,,,,,,,,,False
curvature/fd_conclusive_gradient [shadow_fp32],curvature/fd_conclusive_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,1,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,1,False,17,0,0,0,0,0,0,0,1,False,2,0,0,0,0,0,0,0,1,False,0,,,,,,,,,False
curvature/fd_conclusive_random [native],curvature/fd_conclusive_random,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,,0,,0,0,,0,False,0,,,,,,,,,False,5,0,,0,,0,0,,0,False,17,0,,0,,0,0,,0,False,2,0,,0,,0,0,,0,False,0,,,,,,,,,False
curvature/fd_conclusive_random [shadow_fp32],curvature/fd_conclusive_random,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0.1,0.5,0,0,inf,0.1,-0.5,0.2,True,0,,,,,,,,,False,5,0.4,1,0.1989872306,0.4974680765,2.01017924,0.2,-1,0.4,False,17,0.05882352941,1,0.3189349624,5.421894361,0.1844373818,0,-1,0.05882352941,False,2,0,,0,,0,0,,0,False,0,,,,,,,,,False
curvature/fd_conclusive_update [native],curvature/fd_conclusive_update,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,,0,,0,0,,0,False,0,,,,,,,,,False,5,0,,0,,0,0,,0,False,17,0,,0,,0,0,,0,False,2,0,,0,,0,0,,0,False,0,,,,,,,,,False
curvature/fd_conclusive_update [shadow_fp32],curvature/fd_conclusive_update,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,,0.05477225575,,0,0,,0,False,0,,,,,,,,,False,5,0,,0,,0,0,,0,False,17,0,,0,,0,0,,0,False,2,0,,0,,0,0,,0,False,0,,,,,,,,,False
curvature/fd_cos_gradient [shadow_fp32],curvature/fd_cos_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,1.472508254,not estimable,,False,False,10,2.9124235e-08,2.912423851e-08,1.134676617e-07,1.134676753e-07,0.2566743209,0.7,2.729685053e-08,0.9999998796,False,0,,,,,,,,,False,5,3.697499794e-07,3.697500706e-07,1.611377881e-07,1.611378278e-07,2.294619926,0.8,-2.99984863e-07,0.9999997534,False,17,2.511021243e-07,2.511022058e-07,2.499690775e-07,2.499691586e-07,1.004532748,1,2.511022058e-07,0.9999996755,False,2,2.658985365e-09,2.658985379e-09,3.898447608e-10,3.898447628e-10,6.820626139,0,-2.658985379e-09,0.9999999948,True,0,,,,,,,,,False
curvature/fd_cos_random [shadow_fp32],curvature/fd_cos_random,shadow_fp32,sparse,post_update,not estimable,,not estimable,,not estimable,,False,False,1,7.668897789e-07,7.668901812e-07,3.927399493e-08,3.927401553e-08,19.52665575,1,-7.668901812e-07,0.9999994754,False,0,,,,,,,,,False,0,,,,,,,,,False,0,,,,,,,,,False,0,,,,,,,,,False,0,,,,,,,,,False
curvature/fd_eps_gradient [native],curvature/fd_eps_gradient,native,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,0.03,False,17,0,0,0,0,0,0,0,0.03,False,2,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False
curvature/fd_eps_gradient [shadow_fp32],curvature/fd_eps_gradient,shadow_fp32,sparse,post_update,not estimable,,uniformly different,0.5295489891,not estimable,,False,False,10,0.00027,0.02088167053,0.000440832815,0.03409379853,0.6124770907,0,-0.01005413766,0.01293,False,0,,,,,,,,,False,5,0.00454,0.3530326594,0.0002555665963,0.01987298571,17.76444992,0.2,-0.3312597201,0.01286,True,17,0.0004470588235,0.6666666667,0.0002416691511,0.3603838219,1.849879562,0.1764705882,0.6666666667,0.0006705882353,False,2,0.01,0.3333333333,0,0,inf,0,0.3333333333,0.03,True,0,,,,,,,,,False
curvature/fd_eps_random [native],curvature/fd_eps_random,native,sparse,post_update,not estimable,,not different,0.009517929331,not estimable,,False,False,10,0.002,0.07142857143,0.003309380607,0.1181921645,0.6043426966,0,0.07142857143,0.028,False,0,,,,,,,,,False,5,0.00018,0.007438016529,0.005373013363,0.2220253456,0.0335007542,0,-0.007438016529,0.0242,False,17,0.007047058824,0.7814742335,0.01145788976,1.270607476,0.6150398519,0.1764705882,-0.3939986954,0.009017647059,False,2,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False
curvature/fd_eps_random [shadow_fp32],curvature/fd_eps_random,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,0.03,False,17,0,0,0,0,0,0,0,0.03,False,2,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False
curvature/fd_eps_update [native],curvature/fd_eps_update,native,sparse,post_update,not estimable,,not different,0.4604937622,not estimable,,False,False,10,0.004,0.1428571429,0.005720029218,0.2042867578,0.6992971272,0.1,-0.1428571429,0.028,False,0,,,,,,,,,False,5,0.0072,0.3272727273,0.006195145253,0.2815975115,1.162200353,0.2,-0.3272727273,0.022,False,17,0.01015882353,0.7106995885,0.01239989142,0.867482116,0.8192671358,0.1764705882,-0.05226337449,0.01429411765,False,2,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False
curvature/fd_eps_update [shadow_fp32],curvature/fd_eps_update,shadow_fp32,sparse,post_update,not estimable,,not different,1,not estimable,,False,False,10,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False,5,0,0,0,0,0,0,0,0.03,False,17,0,0,0,0,0,0,0,0.03,False,2,0,0,0,0,0,0,0,0.03,False,0,,,,,,,,,False
curvature/fd_floor_gradient [native],curvature/fd_floor_gradient,native,sparse,post_update,not estimable,,uniformly different,0.8110814182,not estimable,,False,False,10,0.08999854086,0.1578955323,0.01607564294,0.02820348167,5.598441146,1,0.1474950959,0.5699878874,True,0,,,,,,,,,False,5,0.09573578507,0.1826116896,0.01701585318,0.03245697203,5.626270049,1,0.06124847982,0.5242587989,True,17,0.1700840544,0.2251459416,0.04245780781,0.05620281778,4.005954692,1,0.2251459416,0.7554391308,True,2,0.009118842627,0.01673542277,0.002371156949,0.004351683171,3.845735573,0,-0.01667003381,0.5448827169,True,0,,,,,,,,,False
curvature/fd_floor_gradient [shadow_fp32],curvature/fd_floor_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,1.369219941,not estimable,,False,False,10,0.0001055136669,0.885120926,5.212152222e-05,0.4372310372,2.024378076,1,-0.05691404757,0.0001192081938,False,0,,,,,,,,,False,5,0.0001735138639,0.7467934694,7.970635543e-05,0.3430514678,2.176913785,1,-0.376232332,0.0002323451812,False,17,0.0004001753754,0.5454152742,0.0002967880127,0.404504438,1.34835424,0.3529411765,-0.4507061899,0.0007337076799,False,2,1.011507171e-05,1.216597251,3.67421715e-08,0.004419190108,275.2986907,0,-1.216597251,8.31423193e-06,True,0,,,,,,,,,False
curvature/fd_floor_random [native],curvature/fd_floor_random,native,sparse,post_update,not estimable,,not different,0.9167214609,not estimable,,False,False,10,0.192781413,0.2868605619,0.4128343305,0.61430138,0.4669704013,0.8,-0.02559654053,0.6720387483,False,0,,,,,,,,,False,5,24.54058279,6.839522971,17.36116086,4.838599782,1.413533518,0.6,6.83098404,3.588054736,False,17,66.51239877,7.46085181,56.39889886,6.326396799,1.179320875,0.3529411765,6.809247205,8.914853218,False,2,0.009201762222,0.01688775399,0.002372700958,0.004354556128,3.878180347,0,-0.01682463976,0.5448777987,True,0,,,,,,,,,False
curvature/fd_floor_random [shadow_fp32],curvature/fd_floor_random,shadow_fp32,sparse,post_update,not estimable,,uniformly different,0.8465128811,not estimable,,False,False,10,1.371090149e-06,0.1577286814,2.44661646e-07,0.02814560287,5.604025686,1,0.1476917454,8.692712931e-06,True,0,,,,,,,,,False,5,1.468272192e-06,0.1838256389,2.558151918e-07,0.03202770666,5.739581694,1,0.0623335424,7.987309068e-06,True,17,2.487247644e-06,0.2171563398,6.267130546e-07,0.05471699345,3.96871842,1,0.2171563398,1.145371876e-05,True,2,1.605476361e-07,0.01930880892,3.675322235e-08,0.004420251616,4.368260136,0,-0.01930880892,8.314735347e-06,True,0,,,,,,,,,False
curvature/fd_floor_update [native],curvature/fd_floor_update,native,sparse,post_update,not estimable,,uniformly different,0.8042022534,not estimable,,False,False,10,0.3109666401,0.4602555621,1.076232413,1.592910268,0.2889400435,0.6,0.4340695558,0.6756390705,False,0,,,,,,,,,False,5,3.359769814,3.506719413,0.683031003,0.7129054105,4.91891261,0.8,3.506719413,0.9580948509,True,17,9.503039231,4.360494389,6.046202136,2.774315653,1.571736938,0.4117647059,4.110291908,2.179349033,False,2,0.009201503419,0.01688721868,0.002371627117,0.004352569784,3.87982721,0,-0.01682311071,0.5448797456,True,0,,,,,,,,,False
curvature/fd_floor_update [shadow_fp32],curvature/fd_floor_update,shadow_fp32,sparse,post_update,not estimable,,uniformly different,0.8465128985,not estimable,,False,False,10,1.371090043e-06,0.1577286675,2.446617366e-07,0.02814561298,5.604023179,1,0.1476917257,8.692713026e-06,True,0,,,,,,,,,False,5,1.468272308e-06,0.1838256463,2.558152705e-07,0.03202771528,5.739580382,1,0.06233346696,7.987309373e-06,True,17,2.487247711e-06,0.2171563441,6.267129452e-07,0.05471698353,3.968719219,1,0.2171563441,1.145371884e-05,True,2,1.605476935e-07,0.0193088158,3.675321031e-08,0.004420250161,4.368263129,0,-0.0193088158,8.31473536e-06,True,0,,,,,,,,,False
curvature/fd_snr_gradient [native],curvature/fd_snr_gradient,native,sparse,post_update,not estimable,,not different,1.12643021,not estimable,,False,False,10,0.8512144464,0.1581155826,1.232443684,0.2289300328,0.6906720827,0.3,0.1538322154,5.383494989,False,0,,,,,,,,,False,5,2.226718588,0.4050026839,1.887637709,0.3433295714,1.179632393,0.4,0.09552604879,5.498034153,False,17,6.847090173,0.3595452966,2.792892918,0.14665668,2.451612136,0.9411764706,0.3595452966,19.04374842,False,2,0.2263442818,0.3970247413,0.02145114743,0.0376269115,10.55161653,0,-0.3970247413,0.5701012009,True,0,,,,,,,,,False
curvature/fd_snr_gradient [shadow_fp32],curvature/fd_snr_gradient,shadow_fp32,sparse,post_update,not estimable,,not different,0.2046422277,not estimable,,False,False,10,5306.265781,0.1014725934,10849.66324,0.2074798949,0.4890719338,0.4,0.06079259255,52292.60042,False,0,,,,,,,,,False,5,8556.253259,0.2945479315,12480.20744,0.4296295557,0.6855858206,0.2,-0.1836762477,29048.76369,False,17,37021.67995,1.439331143,14230.38607,0.5532498223,2.601593502,0.9411764706,1.439331143,25721.44717,False,2,7219.539686,0.1939015953,1420.863437,0.03816139242,5.081093298,0,0.1716146533,37233.00819,True,0,,,,,,,,,False
curvature/fd_snr_random [native],curvature/fd_snr_random,native,sparse,post_update,not estimable,,warmup-dominated,6.505071622,not estimable,,True,False,10,0.01326746146,0.069470084,0.01722391667,0.09018657725,0.7702929429,0.4,0.02544556644,0.190980933,False,0,,,,,,,,,False,5,0.1238522229,0.2726307567,0.02728945675,0.06007114824,4.538464216,1,0.2726307567,0.4542855854,True,17,0.03707775724,0.0419104927,0.04276516511,0.04833920047,0.8670083968,0.2941176471,-0.008623162941,0.8846891281,False,2,0.03103154859,3.032081995,0.001335104307,0.130452585,23.24278967,0,-3.032081995,0.01023440284,True,0,,,,,,,,,False
curvature/fd_snr_random [shadow_fp32],curvature/fd_snr_random,shadow_fp32,sparse,post_update,not estimable,,warmup-dominated,2.464897668,not estimable,,True,False,10,141.3302042,0.2606142661,30.30517668,0.05588303948,4.663566416,1,-0.2606142661,542.2964993,True,0,,,,,,,,,False,5,174.1769128,0.2967953104,35.27549901,0.06010901508,4.937617262,0.8,-0.2554982371,586.8587093,True,17,78.60845075,0.1204087757,37.53690926,0.05749729507,2.094164179,0.4117647059,-0.005024050273,652.8465246,False,2,76.57757514,0.2002369753,9.264522642,0.02422510752,8.265679528,0,-0.2002369753,382.4347377,True,0,,,,,,,,,False
curvature/fd_snr_update [native],curvature/fd_snr_update,native,sparse,post_update,not estimable,,warmup-dominated,6.329208352,not estimable,,True,False,10,0.01826133131,0.1000552291,0.0256446514,0.1405090038,0.7120912282,0.4,-0.02285581751,0.1825125132,False,0,,,,,,,,,False,5,0.1115199135,0.2527879452,0.03450100422,0.0782052074,3.232367173,0.6,0.2527879452,0.4411599351,True,17,0.03447062303,0.03993989945,0.04367524392,0.05060497018,0.7892485522,0.2352941176,-0.0155449006,0.8630623387,False,2,0.0179004759,3.796058484,0.0195429837,4.144376355,0.9159540926,0,-3.796058484,0.004715542708,False,0,,,,,,,,,False
curvature/fd_snr_update [shadow_fp32],curvature/fd_snr_update,shadow_fp32,sparse,post_update,not estimable,,uniformly different,1.364333557,not estimable,,False,False,10,69.32402879,0.3040914831,47.24321471,0.2072334727,1.467385935,0.7,-0.2789541839,227.9709648,False,0,,,,,,,,,False,5,70.9120494,0.4420757559,17.27550128,0.1076979209,4.104775209,0.8,0.08866842525,160.4070082,True,17,38.13426167,0.3240232227,13.97630649,0.1187553573,2.728493519,0.9411764706,-0.3196480021,117.6899031,False,2,91.08790486,0.5854780475,2.048025619,0.01316392163,44.47595968,0,-0.5854780475,155.5786852,True,0,,,,,,,,,False
curvature/gHg [native],curvature/gHg,native,sparse,post_update,not estimable,,uniformly different,0.5925468851,not estimable,,False,False,10,44.92090986,3.344384039,13.92808421,1.036952783,3.225203782,0.8,3.34367326,13.43174389,True,0,,,,,,,,,False,5,4.11577171,0.8910305731,1.736753575,0.375992801,2.369807535,1,0.08081369234,4.619113905,False,17,125.0202102,1.503730077,26.45719574,0.318224397,4.725376468,0.8823529412,1.503730077,83.1400609,True,2,0.1795540506,49.98283769,0.002492695021,0.6938967414,72.03209744,0,48.44975455,0.003592314061,True,0,,,,,,,,,False
